CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"18,927",-47,60,-,"9,050.00",-28.35,100,"9,011.00","9,065.00",25,"16,000.00",50,3.50,3.90,300,0.65,4.00,59.41,496,238,"5,619",
,3,1,2,82.38,"8,225.90",325.80,-,-,"8,404.00",25,"17,000.00","1,000",2.55,4.00,250,-,-,-,-,-,46,
,512,-4,8,-,"7,060.00",35.40,25,"7,050.00","7,084.95",25,"18,000.00","1,000",3.70,4.00,75,-0.10,4.00,45.13,36,-8,"1,372",
,"5,210",-30,680,-,"6,105.00",-17.70,25,"6,048.20","6,118.80",25,"19,000.00","1,100",4.75,5.00,"1,650",0.10,5.00,39.47,700,-39,"10,005",
,"13,174",-74,277,-,"5,096.35",-20.00,25,"5,071.45","5,107.30",25,"20,000.00","1,275",5.25,5.90,100,0.25,5.90,33.16,"2,552",354,"25,172",
,"7,842","1,579","1,693",-,"4,088.30",-38.30,100,"4,088.20","4,088.25",50,"21,000.00","3,600",6.10,6.45,125,-1.00,6.10,27.35,"5,167",907,"35,885",
,"15,626",257,"1,634",-,"3,107.75",-39.90,50,"3,094.65","3,134.20",25,"22,000.00",100,9.55,11.10,825,-1.25,11.00,22.98,"17,398",312,"54,439",
,277,259,272,-,"2,872.25",667.75,"1,775","2,476.25","2,988.55","1,000","22,250.00",750,10.60,14.00,25,-0.10,14.05,22.13,5,-,382,
,60,3,23,-,"2,560.50",-289.50,100,"2,664.05","2,972.80",900,"22,300.00",100,13.10,15.15,100,-1.65,13.95,21.77,"4,701",-7,"9,456",
,7,-,-,-,-,-,450,"2,523.40","2,918.65","1,000","22,350.00",750,12.30,15.00,50,-1.75,14.15,21.48,10,-,292,
,8,-,-,-,-,-,450,"2,565.45","2,750.00",75,"22,400.00","1,500",11.00,23.25,"1,000",-1.65,14.55,21.24,443,-25,"7,844",
,6,-,-,-,-,-,50,"2,429.70","2,790.50",50,"22,450.00",750,11.30,-,-,-,-,-,-,-,165,
,"3,937",312,560,-,"2,608.00",-43.60,25,"2,603.55","2,611.00",50,"22,500.00",150,14.00,14.85,475,-2.65,14.15,20.59,"23,637","9,386","50,343",
,6,-,-,-,-,-,50,"2,328.20","2,722.60",50,"22,550.00",75,15.30,34.55,"1,000",-2.70,15.30,20.39,291,132,301,
,13,1,3,-,"2,500.05",120.05,100,"2,431.80","2,560.00",25,"22,600.00","1,500",12.80,22.80,575,-2.80,16.05,20.21,"6,617",796,"6,691",
,5,-,-,-,-,-,50,"2,241.40","2,591.25",50,"22,650.00",750,12.95,25.80,100,-,-,-,-,-,13,
